viewDate,areaMunKm,areaUcKm,uc,uf,municipio
8/8/2020,0.11,0,,PA,Maraba
8/7/2020,0.07,0,,PA,Novo Progresso
8/7/2020,0,0,,PA,Itaituba
8/7/2020,0,0,,PA,Itaituba
8/7/2020,0.11,0,,PA,Itaituba
8/7/2020,0.09,0,,MT,Apiacas
8/7/2020,0.07,0,,MT,Novo Mundo
8/7/2020,0.02,0,,MT,Novo Mundo
8/7/2020,0.05,0,,MT,Nova Guarita
6/16/2020,0.17,0,,PA,Altamira
8/7/2020,0.11,0,,MT,Peixoto de Azevedo
8/7/2020,0.11,0,,MT,Peixoto de Azevedo
8/5/2020,0.09,0,,PA,Cachoeira do Piria
8/5/2020,0.08,0,,PA,Cachoeira do Piria
8/5/2020,0.06,0,,PA,Cumaru do Norte
8/5/2020,0.08,0,,PA,Cumaru do Norte
8/4/2020,0.05,0,,PA,Itaituba
8/4/2020,0.06,0,,PA,Itaituba
8/4/2020,0.06,0,,PA,Itaituba
8/4/2020,0.1,0,,PA,Itaituba
8/4/2020,0.08,0,,PA,Itaituba
8/4/2020,0.06,0,,PA,Itaituba
8/4/2020,0.07,0,,PA,Itaituba
8/4/2020,0.08,0,,PA,Itaituba
8/25/2020,0.06,0,,PA,Sao Felix do Xingu
8/25/2020,0.11,0,,PA,Cumaru do Norte
8/4/2020,0.07,0,,PA,Itaituba
8/4/2020,0.1,0.1,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
8/4/2020,0.03,0,,PA,Itaituba
8/4/2020,0.04,0,,PA,Itaituba
8/4/2020,0.07,0,,PA,Jacareacanga
8/4/2020,0.15,0,,PA,Jacareacanga
8/4/2020,0.13,0,,AM,Silves
8/26/2020,0.07,0,,AM,Jutai
8/26/2020,0.08,0,,AM,Jutai
8/26/2020,0.06,0,,AM,Jutai
8/26/2020,0.09,0,,AM,Jutai
8/26/2020,0.13,0,,AM,Jutai
8/26/2020,0.11,0,,AM,Jutai
8/26/2020,0.07,0,,AM,Jutai
8/26/2020,0.15,0,,AM,Jutai
8/26/2020,0.16,0,,AM,Jutai
8/26/2020,0.07,0,,AM,Jutai
8/26/2020,0.11,0,,AM,Jutai
8/26/2020,0.09,0,,AM,Jutai
8/4/2020,0.2,0,,MT,Nova Guarita
8/26/2020,0.11,0,,AM,Jutai
8/4/2020,0.06,0,,MT,Novo Mundo
8/4/2020,0.09,0,,RO,Ariquemes
8/4/2020,0.13,0,,RO,Ariquemes
8/8/2020,0.07,0,,PA,Cumaru do Norte
8/8/2020,0.07,0,,PA,Cumaru do Norte
8/30/2020,0.08,0,,PA,Itaituba
8/31/2020,0.07,0,,PA,Ourilandia do Norte
9/1/2020,0.07,0,,AM,Jutai
9/1/2020,0.09,0,,AM,Jutai
8/22/2020,0.24,0,,PA,Almeirim
9/1/2020,0.06,0,,AM,Jutai
8/22/2020,0.09,0,,PA,Almeirim
8/2/2020,0.11,0,,PA,Tucuma
8/2/2020,0.23,0,,PA,Ourilandia do Norte
9/2/2020,0.07,0,,PA,Jacareacanga
8/2/2020,0.16,0,,PA,Ourilandia do Norte
8/1/2020,0.07,0,,MT,Paranaita
9/2/2020,0.08,0,,PA,Itaituba
8/8/2020,0.07,0,,PA,Sao Felix do Xingu
9/2/2020,0.07,0.07,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
7/30/2020,0.09,0,,PA,Maraba
7/30/2020,0.06,0,,PA,Santana do Araguaia
7/30/2020,0.15,0,,PA,Santana do Araguaia
7/30/2020,0.07,0,,PA,Santana do Araguaia
7/30/2020,0.09,0,,MT,Novo Mundo
7/30/2020,0.07,0,,MT,Novo Mundo
7/29/2020,0.1,0,,PA,Oriximina
8/22/2020,0.07,0,,PA,Cumaru do Norte
9/2/2020,0.13,0,,PA,Jacareacanga
9/2/2020,0.09,0,,PA,Jacareacanga
9/2/2020,0.1,0,,PA,Jacareacanga
9/2/2020,0.07,0,,PA,Jacareacanga
9/2/2020,0.08,0,,PA,Jacareacanga
7/29/2020,0.1,0,,PA,Jacareacanga
7/29/2020,0.1,0,,PA,Itaituba
9/3/2020,0.07,0,,PA,Rio Maria
9/4/2020,0.07,0,,RO,Porto Velho
6/23/2020,0.09,0,,AM,Jutai
6/23/2020,0.16,0,,AM,Jutai
7/27/2020,0.07,0,,MT,Paranaita
9/5/2020,0.09,0,,AP,Calçoene
7/27/2020,0.06,0,,PA,Bannach
7/27/2020,0.1,0,,PA,Bannach
6/24/2020,0.11,0,,PA,Cumaru do Norte
7/27/2020,0.06,0,,PA,Cumaru do Norte
7/27/2020,0.17,0,,PA,Cumaru do Norte
7/27/2020,0.06,0,,PA,Cumaru do Norte
8/22/2020,0.07,0,,PA,Ourilandia do Norte
9/8/2020,0.06,0,,PA,Jacareacanga
9/8/2020,0.07,0,,PA,Jacareacanga
9/8/2020,0.08,0,,PA,Jacareacanga
9/8/2020,0.06,0,,PA,Jacareacanga
9/8/2020,0.07,0.07,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Jacareacanga
7/27/2020,0,0,PARQUE NACIONAL DO JAMANXIM,PA,Itaituba
8/22/2020,0.1,0,,PA,Cumaru do Norte
7/27/2020,0.07,0.07,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
7/27/2020,0.09,0.09,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
7/24/2020,0.3,0.3,FLORESTA NACIONAL DE CARAJÁS,PA,Parauapebas
7/24/2020,0.38,0,,PA,Maraba
7/24/2020,0.07,0,,PA,Sao Felix do Xingu
7/24/2020,0.08,0,,PA,Ourilandia do Norte
7/24/2020,0.07,0,,PA,Ourilandia do Norte
7/24/2020,0.06,0.06,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
8/22/2020,0.11,0,,PA,Cumaru do Norte
8/22/2020,0.08,0,,PA,Cumaru do Norte
8/22/2020,0.07,0,,PA,Cumaru do Norte
7/21/2020,0.07,0,,PA,Jacareacanga
7/21/2020,0,0,,PA,Jacareacanga
7/21/2020,0.1,0,,PA,Itaituba
7/21/2020,0.1,0.1,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Jacareacanga
7/21/2020,0,0,,PA,Jacareacanga
7/21/2020,0.05,0,,PA,Itaituba
7/21/2020,0.07,0,,PA,Jacareacanga
7/21/2020,0.11,0,,PA,Jacareacanga
7/21/2020,0.44,0,,PA,Jacareacanga
7/21/2020,0.1,0,,PA,Jacareacanga
7/21/2020,0.07,0,,PA,Jacareacanga
7/21/2020,0.07,0,,PA,Jacareacanga
7/21/2020,0.07,0,,PA,Jacareacanga
7/21/2020,0.09,0,,PA,Ourilandia do Norte
7/21/2020,0.07,0,,PA,Ourilandia do Norte
7/21/2020,0.06,0,,MT,Peixoto de Azevedo
7/21/2020,0.06,0,,MT,Matupa
7/21/2020,0.06,0,,PA,Itaituba
7/21/2020,0.07,0,,PA,Jacareacanga
7/21/2020,0.06,0,,PA,Itaituba
7/19/2020,0.07,0,,PA,Ourilandia do Norte
4/3/2020,0.12,0,,PA,Cumaru do Norte
7/19/2020,0.07,0,,MA,Sao Luis
7/19/2020,0.11,0,,MA,Sao Luis
7/19/2020,0.06,0,,MA,Sao Luis
6/9/2020,0.14,0,,AM,Jutai
7/18/2020,0.1,0,,PA,Jacareacanga
7/18/2020,0.07,0,,PA,Itaituba
7/18/2020,0.08,0,,PA,Itaituba
7/18/2020,0.07,0,,PA,Jacareacanga
7/18/2020,0.16,0,,PA,Itaituba
7/18/2020,0.07,0.07,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Jacareacanga
8/22/2020,0.18,0,,PA,Ourilandia do Norte
7/18/2020,0.06,0,,PA,Itaituba
7/18/2020,0.01,0,,PA,Itaituba
7/18/2020,0.14,0,,PA,Jacareacanga
7/18/2020,0.02,0,,PA,Itaituba
7/18/2020,0.07,0.07,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
7/18/2020,0.06,0,,AM,Maues
7/18/2020,0.1,0,,PA,Jacareacanga
7/18/2020,0.1,0,,PA,Jacareacanga
7/18/2020,0.08,0,,PA,Jacareacanga
7/18/2020,0.09,0,,PA,Itaituba
7/18/2020,0,0,,PA,Jacareacanga
7/18/2020,0.07,0,,PA,Jacareacanga
7/18/2020,0.07,0.07,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
7/18/2020,0.08,0,,MT,Novo Mundo
7/18/2020,0.13,0,,PA,Itaituba
7/18/2020,0.07,0,,PA,Itaituba
7/18/2020,0.07,0,,MT,Apiacas
